Word  actual_tag  prediction
D.A.  [D.A.]  O
Gerrets  [Gerrets]  O
en  [en]  O
G.L.  [G.L.]  O
Williams  [Williams]  O
(  [(]  O
red  [red]  O
.  [.]  O
)  [)]  O

Water  [water]  O
en  [en]  O
vuur  [vuur]  O
Archeologisch  [archeologisch]  O
proefsleuvenonderzoek  [proef][sleuven][onderzoek]  O
en  [en]  O
opgraving  [op][graaf][ing]  O
te  [te]  O
Lomm  [Lomm]  O
Hoogwatergeul  [Hoogwatergeul]  O
Fase  [Fase]  O
III  [III]  O
rapport  [rapport]  O
2703  [2703]  O

Water  [water]  O
en  [en]  O
vuur  [vuur]  O

D.A.  [D.A.]  O
Gerrets  [Gerrets]  O
en  [en]  O
G.L.  [G.L.]  O
Williams  [Williams]  O
(  [(]  O
red  [red]  O
.  [.]  O
)  [)]  O

Water  [water]  O
en  [en]  O
vuur  [vuur]  O
Archeologisch  [archeologisch]  O
proefsleuvenonderzoek  [proef][sleuven][onderzoek]  O
en  [en]  O
opgraving  [op][graaf][ing]  O
te  [te]  O
Lomm  [Lomm]  O
Hoogwatergeul  [Hoogwatergeul]  O
Fase  [Fase]  O
III  [III]  O

Onder  [onder]  O
redactie  [redactie]  O
van  [van]  O
D.A.  [D.A.]  O
Gerrets  [Gerrets]  O
en  [en]  O
GL  [GL]  O
.  [.]  O

Williams  [Williams]  O

Auteurs  [auteur][s]  O
:  [:]  O
S.  [S.]  O
Baetsen  [Baetsen]  O
(  [(]  O
SBFA  [SBFA]  O
)  [)]  O
J.A.A.  [J.A.A.]  O
Bos  [Bos]  O
E.  [E.]  O
van  [van]  O
den  [den]  O
Brink  [Brink]  O
E.  [E.]  O
Drenth  [Drenth]  O
(  [(]  O
ArcheoMedia  [ArcheoMedia]  O
)  [)]  O
L.M.B.  [L.M.B.]  O
van  [van]  O
der  [der]  O
Feijst  [feijst]  O
D.A.  [D.A.]  O
Gerrets  [Gerrets]  O
M.J.A.  [M.J.A.]  O
Melkert  [Melkert]  O
W.F.  [W.F.]  O
Reigersman-Van  [Reigersman-Van]  O
Lidth  [Lidth]  O
de  [de]  O
Jeude  [Jeude]  O
A.  [A.]  O
Verbaas  [verbaas]  O
(  [(]  O
Rijksuniversiteit  [Rijksuniversiteit]  O
Leiden  [Leiden]  O
)  [)]  O
G.L.  [G.L.]  O
Williams  [Williams]  O
F.S.  [F.S.]  O
Zuidhoff  [Zuidhoff]  O

Colofon  [colofon]  O

ADC  [ADC]  O
Rapport  [rapport]  O
2703  [2703]  O
Water  [water]  O
en  [en]  O
vuur  [vuur]  O
.  [.]  O

Archeologisch  [archeologisch]  O
proefsleuvenonderzoek  [proef][sleuven][onderzoek]  O
en  [en]  O
opgraving  [op][graaf][ing]  O
te  [te]  O
Lomm  [Lomm]  O
Hoogwatergeul  [Hoogwatergeul]  O
Fase  [Fase]  O
III  [III]  O

Onder  [onder]  O
redactie  [redactie]  O
van  [van]  O
:  [:]  O
D.A.  [D.A.]  O
Gerrets  [Gerrets]  O
en  [en]  O
G.L.  [G.L.]  O
Williams  [Williams]  O
In  [in]  O
opdracht  [opdracht]  O
van  [van]  O
:  [:]  O
DCM  [DCM]  O
Exploitatie  [exploiteer][atie]  O
Lomm  [Lomm]  O
bv  [bv]  O
Directievoering  [directie][voer][ing]  O
:  [:]  O
Hazenberg  [Hazenberg]  O
Archeologie  [Archeologie]  O
Leiden  [Leiden]  O
bv  [bv]  O
Foto’s  [foto][s]  O
en  [en]  O
tekeningen  [teken][ing][en]  O
:  [:]  O
ADC  [ADC]  O
ArcheoProjecten  [ArcheoProjecten]  O
,  [,]  O
tenzij  [tenzij]  O
anders  [anders]  O
vermeld  [ver][meld]  O
©  [©]  O
ADC  [ADC]  O
ArcheoProjecten  [ArcheoProjecten]  O
,  [,]  O
Amersfoort  [Amersfoort]  O
,  [,]  O
december  [december]  O
2011  [2011]  O
Niets  [niets]  O
uit  [uit]  O
deze  [deze]  O
uitgave  [uitgave]  O
mag  [mag]  O
worden  [word][en]  O
vermenigvuldigd  [ver][menigvuldig][d]  O
en  [en]  O
/  [/]  O
of  [of]  O
openbaar  [openbaar]  O
gemaakt  [ge][maak][t]  O
worden  [word][en]  O
door  [door]  O
middel  [middel]  O
van  [van]  O
druk  [druk]  O
,  [,]  O
fotokopie  [fotokopie]  O
of  [of]  O
op  [op]  O
welke  [welke]  O
wijze  [wijze]  O
dan  [dan]  O
ook  [ook]  O
zonder  [zonder]  O
voorafgaande  [voor][af][ga][d][e]  O
schriftelijke  [schrift][elijk][e]  O
toestemming  [toe][stem][ing]  O
van  [van]  O
de  [de]  O
uitgevers  [uit][geef][er][s]  O
.  [.]  O

ADC  [ADC]  O
ArcheoProjecten  [ArcheoProjecten]  O
aanvaardt  [aanvaard][t]  O
geen  [geen]  O
aansprakelijkheid  [aan][spreek][elijk][heid]  O
voor  [voor]  O
eventuele  [eventueel][e]  O
schade  [schade]  O
voortvloeiend  [voort][vloei][end]  O
uit  [uit]  O
de  [de]  O
toepassing  [toe][pas][ing]  O
van  [van]  O
de  [de]  O
adviezen  [advies][en]  O
of  [of]  O
het  [het]  O
gebruik  [gebruik]  O
van  [van]  O
de  [de]  O
resultaten  [resulteer][aat][en]  O
van  [van]  O
dit  [dit]  O
onderzoek  [onder][zoek]  O
.  [.]  O

Autorisatie  [autoriseer][atie]  O
:  [:]  O
H.M.  [H.M.]  O
van  [van]  O
der  [der]  O
Velde  [Velde]  O

ISBN  [isbn]  O
9  [9]  O
78-94-6064  [78-94-6064]  O
-694  [-694]  O
-2  [-2]  O

ADC  [ADC]  O
ArcheoProjecten  [ArcheoProjecten]  O
Postbus  [post][bus]  O
1513  [1513]  O
3800  [3800]  O
BM  [BM]  O
Amersfoort  [Amersfoort]  O
Tel  [tel]  O
033  [033]  O
299  [299]  O
8181  [8181]  O
Fax  [fax]  O
033  [033]  O
299  [299]  O
8180  [8180]  O
Email  [email]  O
info@archeologie.nl  [info@archeologie.nl]  O

Inhoud  [inhoud]  O
Administratieve  [administratief][e]  O
gegevens  [gegeven][s]  O
van  [van]  O
het  [het]  O
onderzoeksgebied  [onderzoek][s][gebied]  O
Samenvatting  [samen][vat][ing]  O

6  [6]  O
7  [7]  O

1  [1]  O
1.1  [1.1]  O
1.2  [1.2]  O
1.3  [1.3]  O
1.4  [1.4]  O

Inleiding  [in][leid][ing]  O
-  [-]  O
D.A.  [D.A.]  O
Gerrets  [Gerrets]  O
en  [en]  O
G.L.  [G.L.]  O
Williams  [Williams]  O
Algemeen  [al][gemeen]  O
Vooronderzoek  [voor][onderzoek]  O
Doel  [Doel]  O
van  [van]  O
het  [het]  O
onderzoek  [onder][zoek]  O
en  [en]  O
onderzoeksvragen  [onderzoek][s][vraag][en]  O
Opzet  [opzet]  O
van  [van]  O
het  [het]  O
rapport  [rapport]  O

11  [11]  O
11  [11]  O
13  [13]  O
15  [15]  O
19  [19]  O

2  [2]  O
2.1  [2.1]  O
2.2  [2.2]  O
2.3  [2.3]  O
2.4  [2.4]  O
2.5  [2.5]  O
2.6  [2.6]  O

Methoden  [methode][n]  O
-  [-]  O
D.A.  [D.A.]  O
Gerrets  [Gerrets]  O
en  [en]  O
G.L.  [G.L.]  O
Williams  [Williams]  O
Inleiding  [in][leid][ing]  O
Stap  [stap]  O
1  [1]  O
:  [:]  O
Negen  [negen]  O
proefsleuven  [proef][sleuf][en]  O
Conclusies  [conclusie][s]  O
van  [van]  O
het  [het]  O
proefsleuvenonderzoek  [proef][sleuven][onderzoek]  O
(  [(]  O
stap  [stap]  O
1  [1]  O
)  [)]  O
Stap  [stap]  O
2  [2]  O
:  [:]  O
Selectie-advies  [Selectie-advies]  O
Stap  [stap]  O
3  [3]  O
:  [:]  O
Vlakdekkende  [vlak][dek][end][e]  O
opgraving  [op][graaf][ing]  O
Gevolgde  [ge][volg][d][e]  O
werkwijze  [werk][wijze]  O

21  [21]  O
21  [21]  O
21  [21]  O
23  [23]  O
23  [23]  O
26  [26]  O
26  [26]  O

3  [3]  O
3.1  [3.1]  O
3.2  [3.2]  O
3.3  [3.3]  O
3.3.1  [3.3.1]  O
3.3.2  [3.3.2]  O
3.4  [3.4]  O
3.4.1  [3.4.1]  O
3.4.2  [3.4.2]  O
3.5  [3.5]  O
3.6  [3.6]  O
3.7  [3.7]  O
3.7.1  [3.7.1]  O
3.7.2  [3.7.2]  O
3.7.3  [3.7.3]  O
3.7.4  [3.7.4]  O
3.7.5  [3.7.5]  O
3.7.6  [3.7.6]  O
3.7.7  [3.7.7]  O
3.7.8  [3.7.8]  O
3.7.9  [3.7.9]  O
3.8  [3.8]  O

Landschap  [land][schap]  O
en  [en]  O
vegetatie  [vegeteer][atie]  O
Lomm  [Lomm]  O
Hoogwatergeul  [Hoogwatergeul]  O
Fase  [Fase]  O
III  [III]  O
-  [-]  O
F.S.  [F.S.]  O
Zuidhoff  [Zuidhoff]  O
en  [en]  O
J.A.A.  [J.A.A.]  O
Bos  [Bos]  O
Inleiding  [in][leid][ing]  O
Landschappelijke  [land][schap][elijk][e]  O
ligging  [lig][ing]  O
Lomm  [Lomm]  O
Onderzoeksmethoden  [Onderzoeksmethoden]  O
Fysische  [Fysische]  O
geografie  [geografisch][ie]  O
Botanische  [botanisch][e]  O
analyse  [analyse]  O
Lithologie  [Lithologie]  O
,  [,]  O
bodemkunde  [bodemkunde]  O
en  [en]  O
palynologie  [palynologie]  O
van  [van]  O
het  [het]  O
onderzoeksgebied  [onderzoek][s][gebied]  O
Westelijk  [west][elijk]  O
deel  [deel]  O
van  [van]  O
het  [het]  O
plangebied  [plan][gebied]  O
inclusief  [inclusie][f]  O
grafveld  [grafveld]  O
Oostelijke  [Oost][elijk][e]  O
deel  [deel]  O
van  [van]  O
het  [het]  O
plangebied  [plan][gebied]  O
Bodemvorming  [Bodemvorming]  O
Stratigrafische  [Stratigrafische]  O
positie  [poseer][itie]  O
van  [van]  O
de  [de]  O
archeologie  [archeologisch][ie]  O
Paleogeografische  [pale][o][geografisch][e]  O
ontwikkeling  [ont][wikkel][ing]  O
Jonge  [jong][e]  O
Dryas  [Dryas]  O
(  [(]  O
Paleolithicum  [Paleolithicum]  O
)  [)]  O
Preboreaal  [Preboreaal]  O
–  [–]  O
Boreaal  [Boreaal]  O
(  [(]  O
Mesolithicum  [Mesolithicum]  O
)  [)]  O
Atlanticum  [Atlanticum]  O
(  [(]  O
Mesolithicum-Neolithicum  [mesolithicum-neolithicum]  O
)  [)]  O
Vroeg  [vroeg]  O
-  [-]  O
/  [/]  O
Midden-Subboreaal  [Midden-Subboreaal]  O
(  [(]  O
Neolithicum  [Neolithicum]  O
)  [)]  O
Laat-Subboreaal  [Laat-Subboreaal]  O

(  [(]  O
Midden  [midden]  O
-  [-]  O
/  [/]  O
Late  [laat][e]  O
Bronstijd  [brons][tijd]  O
)  [)]  O
Vroeg-Subatlanticum  [Vroeg-Subatlanticum]  O
(  [(]  O
Vroege  [vroeg][e]  O
IJzertijd  [ijzer][tijd]  O
)  [)]  O
Subatlanticum  [Subatlanticum]  O
(  [(]  O
Romeinse  [Romeins][e]  O
tijd  [tijd]  O
)  [)]  O
Middeleeuwen  [Middeleeuwen]  O
(  [(]  O
na  [na]  O
1000  [1000]  O
n.  [n.]  O
Chr.  [Chr.]  O
)  [)]  O
Nieuwe  [nieuw][e]  O
tijd  [tijd]  O
Vragen  [vraag][en]  O
uit  [uit]  O
het  [het]  O
evaluatie  [evalueer][atie]  O
rapport  [rapport]  O

27  [27]  I-PER
27  [27]  I-PER
27  [27]  I-PER
28  [28]  I-PER
28  [28]  I-PER
29  [29]  I-PER
35  [35]  I-PER
35  [35]  I-PER
36  [36]  I-PER
53  [53]  I-PER
53  [53]  I-PER
54  [54]  I-PER
55  [55]  I-PER
55  [55]  I-PER
58  [58]  I-PER
